Latency (ns)
640.959
660.947
687.438
699.546
697.982
694.105
691.735
694.528
691.694
694.025
694.018
695.174
706.665
707.503
707.23
708.504
713.85
710.573
713.538
708.882
711.146
710.53
708.195
706.765
710.162
708.481
708.855
709.092
709.796
710.184
711.183
709.027
709.588
706.266
710.75
711.485
710.952
713.736
714.7
714.71
714.446
716.46
716.761
714.787
715.485
715.796
716.756
712.874
712.471
715.03
719.058
716.548
715.148
715.72
714.537
714.324
715.955
714.229
714.805
713.575
716.39
712.939
716.757
716.934
715.234
716.949
713.357
712.408
717.631
715.976
715.984
715.575
715.391
709.038
711.537
